product, price , quantity ,sales ,date,region
pink morsel,3,591,1773,14-06-2019,east
pink morsel,3,503,1509,14-06-2019,west
gold morsel,$9.99,531,,14-06-2019,north
gold morsel,$9.99,505,,14-06-2019,south
gold morsel,$9.99,543,,14-06-2019,east
gold morsel,$9.99,519,,14-06-2019,west
magenta morsel,$2.50,532,,14-06-2019,north
magenta morsel,$2.50,515,,14-06-2019,south
magenta morsel,$2.50,531,,14-06-2019,east
magenta morsel,$2.50,509,,14-06-2019,west
chartreuse morsel,$3.00,528,,14-06-2019,north
chartreuse morsel,$3.00,532,,14-06-2019,south
chartreuse morsel,$3.00,548,,14-06-2019,east
chartreuse morsel,$3.00,543,,14-06-2019,west
periwinkle morsel,$1.25,525,,14-06-2019,north
periwinkle morsel,$1.25,539,,14-06-2019,south
periwinkle morsel,$1.25,524,,14-06-2019,east
periwinkle morsel,$1.25,575,,14-06-2019,west
vermilion morsel,$4.99,583,,14-06-2019,north
vermilion morsel,$4.99,561,,14-06-2019,south
vermilion morsel,$4.99,559,,14-06-2019,east
vermilion morsel,$4.99,561,,14-06-2019,west
lapis morsel,$1.99,556,,14-06-2019,north
lapis morsel,$1.99,504,,14-06-2019,south
lapis morsel,$1.99,591,,14-06-2019,east
lapis morsel,$1.99,541,,14-06-2019,west
pink morsel,3,534,1602,15-06-2019,north
pink morsel,3,598,1794,15-06-2019,south
pink morsel,3,588,1764,15-06-2019,east
pink morsel,3,595,1785,15-06-2019,west
gold morsel,$9.99,518,,15-06-2019,north
gold morsel,$9.99,519,,15-06-2019,south
gold morsel,$9.99,501,,15-06-2019,east
gold morsel,$9.99,547,,15-06-2019,west
magenta morsel,$2.50,527,,15-06-2019,north
magenta morsel,$2.50,500,,15-06-2019,south
magenta morsel,$2.50,533,,15-06-2019,east
magenta morsel,$2.50,512,,15-06-2019,west
chartreuse morsel,$3.00,579,,15-06-2019,north
chartreuse morsel,$3.00,592,,15-06-2019,south
chartreuse morsel,$3.00,547,,15-06-2019,east
chartreuse morsel,$3.00,523,,15-06-2019,west
periwinkle morsel,$1.25,575,,15-06-2019,north
periwinkle morsel,$1.25,547,,15-06-2019,south
periwinkle morsel,$1.25,592,,15-06-2019,east
periwinkle morsel,$1.25,510,,15-06-2019,west
vermilion morsel,$4.99,543,,15-06-2019,north
vermilion morsel,$4.99,522,,15-06-2019,south
vermilion morsel,$4.99,562,,15-06-2019,east
vermilion morsel,$4.99,575,,15-06-2019,west
lapis morsel,$1.99,548,,15-06-2019,north
lapis morsel,$1.99,526,,15-06-2019,south
lapis morsel,$1.99,509,,15-06-2019,east
lapis morsel,$1.99,511,,15-06-2019,west
pink morsel,3,554,1662,16-06-2019,north
pink morsel,3,521,1563,16-06-2019,south
pink morsel,3,557,1671,16-06-2019,east
pink morsel,3,511,1533,16-06-2019,west
gold morsel,$9.99,543,,16-06-2019,north
gold morsel,$9.99,589,,16-06-2019,south
gold morsel,$9.99,582,,16-06-2019,east
gold morsel,$9.99,501,,16-06-2019,west
magenta morsel,$2.50,593,,16-06-2019,north
magenta morsel,$2.50,500,,16-06-2019,south
magenta morsel,$2.50,547,,16-06-2019,east
magenta morsel,$2.50,528,,16-06-2019,west
chartreuse morsel,$3.00,598,,16-06-2019,north
chartreuse morsel,$3.00,514,,16-06-2019,south
chartreuse morsel,$3.00,556,,16-06-2019,east
chartreuse morsel,$3.00,530,,16-06-2019,west
periwinkle morsel,$1.25,516,,16-06-2019,north
periwinkle morsel,$1.25,529,,16-06-2019,south
periwinkle morsel,$1.25,533,,16-06-2019,east
periwinkle morsel,$1.25,541,,16-06-2019,west
vermilion morsel,$4.99,556,,16-06-2019,north
vermilion morsel,$4.99,559,,16-06-2019,south
vermilion morsel,$4.99,559,,16-06-2019,east
vermilion morsel,$4.99,552,,16-06-2019,west
lapis morsel,$1.99,539,,16-06-2019,north
lapis morsel,$1.99,561,,16-06-2019,south
lapis morsel,$1.99,553,,16-06-2019,east
lapis morsel,$1.99,567,,16-06-2019,west
pink morsel,3,529,1587,17-06-2019,north
pink morsel,3,504,1512,17-06-2019,south
pink morsel,3,512,1536,17-06-2019,east
pink morsel,3,522,1566,17-06-2019,west
gold morsel,$9.99,557,,17-06-2019,north
gold morsel,$9.99,510,,17-06-2019,south
gold morsel,$9.99,516,,17-06-2019,east
gold morsel,$9.99,539,,17-06-2019,west
magenta morsel,$2.50,545,,17-06-2019,north
magenta morsel,$2.50,591,,17-06-2019,south
magenta morsel,$2.50,577,,17-06-2019,east
magenta morsel,$2.50,528,,17-06-2019,west
chartreuse morsel,$3.00,587,,17-06-2019,north
chartreuse morsel,$3.00,525,,17-06-2019,south
chartreuse morsel,$3.00,541,,17-06-2019,east
chartreuse morsel,$3.00,578,,17-06-2019,west
periwinkle morsel,$1.25,564,,17-06-2019,north
periwinkle morsel,$1.25,593,,17-06-2019,south
periwinkle morsel,$1.25,586,,17-06-2019,east
periwinkle morsel,$1.25,516,,17-06-2019,west
vermilion morsel,$4.99,501,,17-06-2019,north
vermilion morsel,$4.99,525,,17-06-2019,south
vermilion morsel,$4.99,532,,17-06-2019,east
vermilion morsel,$4.99,505,,17-06-2019,west
lapis morsel,$1.99,586,,17-06-2019,north
lapis morsel,$1.99,517,,17-06-2019,south
lapis morsel,$1.99,590,,17-06-2019,east
lapis morsel,$1.99,565,,17-06-2019,west
pink morsel,3,589,1767,18-06-2019,north
pink morsel,3,538,1614,18-06-2019,south
pink morsel,3,592,1776,18-06-2019,east
pink morsel,3,576,1728,18-06-2019,west
gold morsel,$9.99,598,,18-06-2019,north
gold morsel,$9.99,563,,18-06-2019,south
gold morsel,$9.99,539,,18-06-2019,east
gold morsel,$9.99,579,,18-06-2019,west
magenta morsel,$2.50,510,,18-06-2019,north
magenta morsel,$2.50,517,,18-06-2019,south
magenta morsel,$2.50,505,,18-06-2019,east
magenta morsel,$2.50,506,,18-06-2019,west
chartreuse morsel,$3.00,576,,18-06-2019,north
chartreuse morsel,$3.00,590,,18-06-2019,south
chartreuse morsel,$3.00,593,,18-06-2019,east
chartreuse morsel,$3.00,578,,18-06-2019,west
periwinkle morsel,$1.25,587,,18-06-2019,north
periwinkle morsel,$1.25,533,,18-06-2019,south
periwinkle morsel,$1.25,505,,18-06-2019,east
periwinkle morsel,$1.25,528,,18-06-2019,west
vermilion morsel,$4.99,560,,18-06-2019,north
vermilion morsel,$4.99,516,,18-06-2019,south
vermilion morsel,$4.99,505,,18-06-2019,east
vermilion morsel,$4.99,590,,18-06-2019,west
lapis morsel,$1.99,526,,18-06-2019,north
lapis morsel,$1.99,556,,18-06-2019,south
lapis morsel,$1.99,593,,18-06-2019,east
lapis morsel,$1.99,517,,18-06-2019,west
pink morsel,3,538,1614,19-06-2019,north
pink morsel,3,524,1572,19-06-2019,south
pink morsel,3,538,1614,19-06-2019,east
pink morsel,3,578,1734,19-06-2019,west
gold morsel,$9.99,574,,19-06-2019,north
gold morsel,$9.99,543,,19-06-2019,south
gold morsel,$9.99,583,,19-06-2019,east
gold morsel,$9.99,521,,19-06-2019,west
magenta morsel,$2.50,592,,19-06-2019,north
magenta morsel,$2.50,544,,19-06-2019,south
magenta morsel,$2.50,514,,19-06-2019,east
magenta morsel,$2.50,529,,19-06-2019,west
chartreuse morsel,$3.00,569,,19-06-2019,north
chartreuse morsel,$3.00,599,,19-06-2019,south
chartreuse morsel,$3.00,550,,19-06-2019,east
chartreuse morsel,$3.00,587,,19-06-2019,west
periwinkle morsel,$1.25,539,,19-06-2019,north
periwinkle morsel,$1.25,590,,19-06-2019,south
periwinkle morsel,$1.25,516,,19-06-2019,east
periwinkle morsel,$1.25,548,,19-06-2019,west
vermilion morsel,$4.99,545,,19-06-2019,north
vermilion morsel,$4.99,547,,19-06-2019,south
vermilion morsel,$4.99,580,,19-06-2019,east
vermilion morsel,$4.99,584,,19-06-2019,west
lapis morsel,$1.99,556,,19-06-2019,north
lapis morsel,$1.99,509,,19-06-2019,south
lapis morsel,$1.99,529,,19-06-2019,east
lapis morsel,$1.99,540,,19-06-2019,west
pink morsel,3,522,1566,20-06-2019,north
pink morsel,3,544,1632,20-06-2019,south
pink morsel,3,595,1785,20-06-2019,east
pink morsel,3,590,1770,20-06-2019,west
gold morsel,$9.99,566,,20-06-2019,north
gold morsel,$9.99,523,,20-06-2019,south
gold morsel,$9.99,579,,20-06-2019,east
gold morsel,$9.99,592,,20-06-2019,west
magenta morsel,$2.50,594,,20-06-2019,north
magenta morsel,$2.50,505,,20-06-2019,south
magenta morsel,$2.50,510,,20-06-2019,east
magenta morsel,$2.50,567,,20-06-2019,west
chartreuse morsel,$3.00,551,,20-06-2019,north
chartreuse morsel,$3.00,572,,20-06-2019,south
chartreuse morsel,$3.00,571,,20-06-2019,east
chartreuse morsel,$3.00,552,,20-06-2019,west
periwinkle morsel,$1.25,537,,20-06-2019,north
periwinkle morsel,$1.25,584,,20-06-2019,south
periwinkle morsel,$1.25,503,,20-06-2019,east
periwinkle morsel,$1.25,570,,20-06-2019,west
vermilion morsel,$4.99,600,,20-06-2019,north
vermilion morsel,$4.99,522,,20-06-2019,south
vermilion morsel,$4.99,509,,20-06-2019,east
vermilion morsel,$4.99,577,,20-06-2019,west
lapis morsel,$1.99,552,,20-06-2019,north
lapis morsel,$1.99,584,,20-06-2019,south
lapis morsel,$1.99,598,,20-06-2019,east
lapis morsel,$1.99,548,,20-06-2019,west
pink morsel,3,575,1725,21-06-2019,north
pink morsel,3,514,1542,21-06-2019,south
pink morsel,3,559,1677,21-06-2019,east
pink morsel,3,511,1533,21-06-2019,west
gold morsel,$9.99,567,,21-06-2019,north
gold morsel,$9.99,592,,21-06-2019,south
gold morsel,$9.99,565,,21-06-2019,east
gold morsel,$9.99,524,,21-06-2019,west
magenta morsel,$2.50,556,,21-06-2019,north
magenta morsel,$2.50,504,,21-06-2019,south
magenta morsel,$2.50,557,,21-06-2019,east
magenta morsel,$2.50,596,,21-06-2019,west
chartreuse morsel,$3.00,543,,21-06-2019,north
chartreuse morsel,$3.00,563,,21-06-2019,south
chartreuse morsel,$3.00,580,,21-06-2019,east
chartreuse morsel,$3.00,517,,21-06-2019,west
periwinkle morsel,$1.25,536,,21-06-2019,north
periwinkle morsel,$1.25,542,,21-06-2019,south
periwinkle morsel,$1.25,555,,21-06-2019,east
periwinkle morsel,$1.25,541,,21-06-2019,west
vermilion morsel,$4.99,531,,21-06-2019,north
vermilion morsel,$4.99,533,,21-06-2019,south
vermilion morsel,$4.99,540,,21-06-2019,east
vermilion morsel,$4.99,584,,21-06-2019,west
lapis morsel,$1.99,595,,21-06-2019,north
lapis morsel,$1.99,549,,21-06-2019,south
lapis morsel,$1.99,566,,21-06-2019,east
lapis morsel,$1.99,509,,21-06-2019,west
pink morsel,3,526,1578,22-06-2019,north
pink morsel,3,571,1713,22-06-2019,south
pink morsel,3,592,1776,22-06-2019,east
pink morsel,3,505,1515,22-06-2019,west
gold morsel,$9.99,505,,22-06-2019,north
gold morsel,$9.99,549,,22-06-2019,south
gold morsel,$9.99,503,,22-06-2019,east
gold morsel,$9.99,569,,22-06-2019,west
magenta morsel,$2.50,524,,22-06-2019,north
magenta morsel,$2.50,534,,22-06-2019,south
magenta morsel,$2.50,563,,22-06-2019,east
magenta morsel,$2.50,545,,22-06-2019,west
chartreuse morsel,$3.00,514,,22-06-2019,north
chartreuse morsel,$3.00,511,,22-06-2019,south
chartreuse morsel,$3.00,529,,22-06-2019,east
chartreuse morsel,$3.00,510,,22-06-2019,west
periwinkle morsel,$1.25,574,,22-06-2019,north
periwinkle morsel,$1.25,548,,22-06-2019,south
periwinkle morsel,$1.25,503,,22-06-2019,east
periwinkle morsel,$1.25,533,,22-06-2019,west
vermilion morsel,$4.99,581,,22-06-2019,north
vermilion morsel,$4.99,589,,22-06-2019,south
vermilion morsel,$4.99,509,,22-06-2019,east
vermilion morsel,$4.99,563,,22-06-2019,west
lapis morsel,$1.99,502,,22-06-2019,north
lapis morsel,$1.99,509,,22-06-2019,south
lapis morsel,$1.99,535,,22-06-2019,east
lapis morsel,$1.99,597,,22-06-2019,west
pink morsel,3,529,1587,23-06-2019,north
pink morsel,3,590,1770,23-06-2019,south
pink morsel,3,591,1773,23-06-2019,east
pink morsel,3,557,1671,23-06-2019,west
gold morsel,$9.99,541,,23-06-2019,north
gold morsel,$9.99,511,,23-06-2019,south
gold morsel,$9.99,526,,23-06-2019,east
gold morsel,$9.99,549,,23-06-2019,west
magenta morsel,$2.50,543,,23-06-2019,north
magenta morsel,$2.50,563,,23-06-2019,south
magenta morsel,$2.50,555,,23-06-2019,east
magenta morsel,$2.50,520,,23-06-2019,west
chartreuse morsel,$3.00,556,,23-06-2019,north
chartreuse morsel,$3.00,500,,23-06-2019,south
chartreuse morsel,$3.00,548,,23-06-2019,east
chartreuse morsel,$3.00,514,,23-06-2019,west
periwinkle morsel,$1.25,569,,23-06-2019,north
periwinkle morsel,$1.25,528,,23-06-2019,south
periwinkle morsel,$1.25,600,,23-06-2019,east
periwinkle morsel,$1.25,565,,23-06-2019,west
vermilion morsel,$4.99,583,,23-06-2019,north
vermilion morsel,$4.99,556,,23-06-2019,south
vermilion morsel,$4.99,547,,23-06-2019,east
vermilion morsel,$4.99,513,,23-06-2019,west
lapis morsel,$1.99,523,,23-06-2019,north
lapis morsel,$1.99,501,,23-06-2019,south
lapis morsel,$1.99,527,,23-06-2019,east
lapis morsel,$1.99,522,,23-06-2019,west
pink morsel,3,568,1704,24-06-2019,north
pink morsel,3,515,1545,24-06-2019,south
pink morsel,3,557,1671,24-06-2019,east
pink morsel,3,600,1800,24-06-2019,west
gold morsel,$9.99,583,,24-06-2019,north
gold morsel,$9.99,534,,24-06-2019,south
gold morsel,$9.99,519,,24-06-2019,east
gold morsel,$9.99,506,,24-06-2019,west
magenta morsel,$2.50,591,,24-06-2019,north
magenta morsel,$2.50,572,,24-06-2019,south
magenta morsel,$2.50,527,,24-06-2019,east
magenta morsel,$2.50,576,,24-06-2019,west
chartreuse morsel,$3.00,526,,24-06-2019,north
chartreuse morsel,$3.00,529,,24-06-2019,south
chartreuse morsel,$3.00,576,,24-06-2019,east
chartreuse morsel,$3.00,599,,24-06-2019,west
periwinkle morsel,$1.25,586,,24-06-2019,north
periwinkle morsel,$1.25,508,,24-06-2019,south
periwinkle morsel,$1.25,538,,24-06-2019,east
periwinkle morsel,$1.25,535,,24-06-2019,west
vermilion morsel,$4.99,514,,24-06-2019,north
vermilion morsel,$4.99,532,,24-06-2019,south
vermilion morsel,$4.99,513,,24-06-2019,east
vermilion morsel,$4.99,509,,24-06-2019,west
lapis morsel,$1.99,520,,24-06-2019,north
lapis morsel,$1.99,574,,24-06-2019,south
lapis morsel,$1.99,534,,24-06-2019,east
lapis morsel,$1.99,564,,24-06-2019,west
pink morsel,3,537,1611,25-06-2019,north
pink morsel,3,599,1797,25-06-2019,south
pink morsel,3,541,1623,25-06-2019,east
pink morsel,3,592,1776,25-06-2019,west
gold morsel,$9.99,531,,25-06-2019,north
gold morsel,$9.99,545,,25-06-2019,south
gold morsel,$9.99,524,,25-06-2019,east
gold morsel,$9.99,554,,25-06-2019,west
magenta morsel,$2.50,542,,25-06-2019,north
magenta morsel,$2.50,564,,25-06-2019,south
magenta morsel,$2.50,587,,25-06-2019,east
magenta morsel,$2.50,547,,25-06-2019,west
chartreuse morsel,$3.00,508,,25-06-2019,north
chartreuse morsel,$3.00,513,,25-06-2019,south
chartreuse morsel,$3.00,505,,25-06-2019,east
chartreuse morsel,$3.00,504,,25-06-2019,west
periwinkle morsel,$1.25,533,,25-06-2019,north
periwinkle morsel,$1.25,547,,25-06-2019,south
periwinkle morsel,$1.25,600,,25-06-2019,east
periwinkle morsel,$1.25,584,,25-06-2019,west
vermilion morsel,$4.99,589,,25-06-2019,north
vermilion morsel,$4.99,586,,25-06-2019,south
vermilion morsel,$4.99,500,,25-06-2019,east
vermilion morsel,$4.99,574,,25-06-2019,west
lapis morsel,$1.99,526,,25-06-2019,north
lapis morsel,$1.99,587,,25-06-2019,south
lapis morsel,$1.99,511,,25-06-2019,east
lapis morsel,$1.99,553,,25-06-2019,west
pink morsel,3,559,1677,26-06-2019,north
pink morsel,3,600,1800,26-06-2019,south
pink morsel,3,598,1794,26-06-2019,east
pink morsel,3,562,1686,26-06-2019,west
gold morsel,$9.99,515,,26-06-2019,north
gold morsel,$9.99,514,,26-06-2019,south
gold morsel,$9.99,512,,26-06-2019,east
gold morsel,$9.99,504,,26-06-2019,west
magenta morsel,$2.50,572,,26-06-2019,north
magenta morsel,$2.50,532,,26-06-2019,south
magenta morsel,$2.50,531,,26-06-2019,east
magenta morsel,$2.50,506,,26-06-2019,west
chartreuse morsel,$3.00,538,,26-06-2019,north
chartreuse morsel,$3.00,526,,26-06-2019,south
chartreuse morsel,$3.00,572,,26-06-2019,east
chartreuse morsel,$3.00,523,,26-06-2019,west
periwinkle morsel,$1.25,524,,26-06-2019,north
periwinkle morsel,$1.25,593,,26-06-2019,south
periwinkle morsel,$1.25,585,,26-06-2019,east
periwinkle morsel,$1.25,575,,26-06-2019,west
vermilion morsel,$4.99,531,,26-06-2019,north
vermilion morsel,$4.99,554,,26-06-2019,south
vermilion morsel,$4.99,553,,26-06-2019,east
vermilion morsel,$4.99,580,,26-06-2019,west
lapis morsel,$1.99,596,,26-06-2019,north
lapis morsel,$1.99,563,,26-06-2019,south
lapis morsel,$1.99,580,,26-06-2019,east
lapis morsel,$1.99,547,,26-06-2019,west
pink morsel,3,557,1671,27-06-2019,north
pink morsel,3,545,1635,27-06-2019,south
pink morsel,3,580,1740,27-06-2019,east
pink morsel,3,557,1671,27-06-2019,west
gold morsel,$9.99,563,,27-06-2019,north
gold morsel,$9.99,543,,27-06-2019,south
gold morsel,$9.99,512,,27-06-2019,east
gold morsel,$9.99,553,,27-06-2019,west
magenta morsel,$2.50,541,,27-06-2019,north
magenta morsel,$2.50,595,,27-06-2019,south
magenta morsel,$2.50,537,,27-06-2019,east
magenta morsel,$2.50,582,,27-06-2019,west
chartreuse morsel,$3.00,505,,27-06-2019,north
chartreuse morsel,$3.00,506,,27-06-2019,south
chartreuse morsel,$3.00,526,,27-06-2019,east
chartreuse morsel,$3.00,513,,27-06-2019,west
periwinkle morsel,$1.25,569,,27-06-2019,north
periwinkle morsel,$1.25,540,,27-06-2019,south
periwinkle morsel,$1.25,586,,27-06-2019,east
periwinkle morsel,$1.25,525,,27-06-2019,west
vermilion morsel,$4.99,599,,27-06-2019,north
vermilion morsel,$4.99,501,,27-06-2019,south
vermilion morsel,$4.99,537,,27-06-2019,east
vermilion morsel,$4.99,502,,27-06-2019,west
lapis morsel,$1.99,553,,27-06-2019,north
lapis morsel,$1.99,537,,27-06-2019,south
lapis morsel,$1.99,579,,27-06-2019,east
lapis morsel,$1.99,581,,27-06-2019,west
pink morsel,3,557,1671,28-06-2019,north
pink morsel,3,590,1770,28-06-2019,south
pink morsel,3,591,1773,28-06-2019,east
pink morsel,3,527,1581,28-06-2019,west
gold morsel,$9.99,509,,28-06-2019,north
gold morsel,$9.99,575,,28-06-2019,south
gold morsel,$9.99,506,,28-06-2019,east
gold morsel,$9.99,585,,28-06-2019,west
magenta morsel,$2.50,552,,28-06-2019,north
magenta morsel,$2.50,599,,28-06-2019,south
magenta morsel,$2.50,581,,28-06-2019,east
magenta morsel,$2.50,590,,28-06-2019,west
chartreuse morsel,$3.00,533,,28-06-2019,north
chartreuse morsel,$3.00,534,,28-06-2019,south
chartreuse morsel,$3.00,556,,28-06-2019,east
chartreuse morsel,$3.00,586,,28-06-2019,west
periwinkle morsel,$1.25,527,,28-06-2019,north
periwinkle morsel,$1.25,555,,28-06-2019,south
periwinkle morsel,$1.25,545,,28-06-2019,east
periwinkle morsel,$1.25,545,,28-06-2019,west
vermilion morsel,$4.99,519,,28-06-2019,north
vermilion morsel,$4.99,544,,28-06-2019,south
vermilion morsel,$4.99,597,,28-06-2019,east
vermilion morsel,$4.99,571,,28-06-2019,west
lapis morsel,$1.99,587,,28-06-2019,north
lapis morsel,$1.99,581,,28-06-2019,south
lapis morsel,$1.99,534,,28-06-2019,east
lapis morsel,$1.99,561,,28-06-2019,west
pink morsel,3,511,1533,29-06-2019,north
pink morsel,3,550,1650,29-06-2019,south
pink morsel,3,512,1536,29-06-2019,east
pink morsel,3,516,1548,29-06-2019,west
gold morsel,$9.99,573,,29-06-2019,north
gold morsel,$9.99,565,,29-06-2019,south
gold morsel,$9.99,583,,29-06-2019,east
gold morsel,$9.99,566,,29-06-2019,west
magenta morsel,$2.50,538,,29-06-2019,north
magenta morsel,$2.50,532,,29-06-2019,south
magenta morsel,$2.50,591,,29-06-2019,east
magenta morsel,$2.50,589,,29-06-2019,west
chartreuse morsel,$3.00,582,,29-06-2019,north
chartreuse morsel,$3.00,525,,29-06-2019,south
chartreuse morsel,$3.00,528,,29-06-2019,east
chartreuse morsel,$3.00,517,,29-06-2019,west
periwinkle morsel,$1.25,590,,29-06-2019,north
periwinkle morsel,$1.25,515,,29-06-2019,south
periwinkle morsel,$1.25,537,,29-06-2019,east
periwinkle morsel,$1.25,524,,29-06-2019,west
vermilion morsel,$4.99,568,,29-06-2019,north
vermilion morsel,$4.99,556,,29-06-2019,south
vermilion morsel,$4.99,514,,29-06-2019,east
vermilion morsel,$4.99,528,,29-06-2019,west
lapis morsel,$1.99,524,,29-06-2019,north
lapis morsel,$1.99,517,,29-06-2019,south
lapis morsel,$1.99,593,,29-06-2019,east
lapis morsel,$1.99,578,,29-06-2019,west
pink morsel,3,595,1785,30-06-2019,north
pink morsel,3,538,1614,30-06-2019,south
pink morsel,3,523,1569,30-06-2019,east
pink morsel,3,600,1800,30-06-2019,west
gold morsel,$9.99,589,,30-06-2019,north
gold morsel,$9.99,540,,30-06-2019,south
gold morsel,$9.99,518,,30-06-2019,east
gold morsel,$9.99,578,,30-06-2019,west
magenta morsel,$2.50,599,,30-06-2019,north
magenta morsel,$2.50,515,,30-06-2019,south
magenta morsel,$2.50,597,,30-06-2019,east
magenta morsel,$2.50,535,,30-06-2019,west
chartreuse morsel,$3.00,502,,30-06-2019,north
chartreuse morsel,$3.00,577,,30-06-2019,south
chartreuse morsel,$3.00,555,,30-06-2019,east
chartreuse morsel,$3.00,510,,30-06-2019,west
periwinkle morsel,$1.25,599,,30-06-2019,north
periwinkle morsel,$1.25,589,,30-06-2019,south
periwinkle morsel,$1.25,599,,30-06-2019,east
periwinkle morsel,$1.25,598,,30-06-2019,west
vermilion morsel,$4.99,576,,30-06-2019,north
vermilion morsel,$4.99,537,,30-06-2019,south
vermilion morsel,$4.99,504,,30-06-2019,east
vermilion morsel,$4.99,599,,30-06-2019,west
lapis morsel,$1.99,569,,30-06-2019,north
lapis morsel,$1.99,525,,30-06-2019,south
lapis morsel,$1.99,589,,30-06-2019,east
lapis morsel,$1.99,580,,30-06-2019,west
pink morsel,3,548,1644,01-07-2019,north
pink morsel,3,553,1659,01-07-2019,south
pink morsel,3,553,1659,01-07-2019,east
pink morsel,3,548,1644,01-07-2019,west
gold morsel,$9.99,588,,01-07-2019,north
gold morsel,$9.99,527,,01-07-2019,south
gold morsel,$9.99,559,,01-07-2019,east
gold morsel,$9.99,578,,01-07-2019,west
magenta morsel,$2.50,514,,01-07-2019,north
magenta morsel,$2.50,557,,01-07-2019,south
magenta morsel,$2.50,564,,01-07-2019,east
magenta morsel,$2.50,559,,01-07-2019,west
chartreuse morsel,$3.00,535,,01-07-2019,north
chartreuse morsel,$3.00,553,,01-07-2019,south
chartreuse morsel,$3.00,513,,01-07-2019,east
